epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,24.3443,0.64026,0.88633,1,0.31778,0.000473596,0.000473596,0.000473596
2,42.5581,0.43606,0.84317,1,0.51274,0.000912312,0.000912312,0.000912312
3,59.6797,0.44286,0.8518,1,0.43802,0.0013133,0.0013133,0.0013133
4,76.8183,0.41082,0.84317,1,0.39489,0.00125923,0.00125923,0.00125923
5,93.4205,0.35044,0.88345,1,0.28212,0.00120265,0.00120265,0.00120265
6,105.017,0.34138,0.87482,1,0.33113,0.00114606,0.00114606,0.00114606
7,112.272,0.30346,0.87626,1,0.30846,0.00108947,0.00108947,0.00108947
8,120.103,0.30106,0.85899,1,0.34237,0.00103288,0.00103288,0.00103288
9,127.961,0.27408,0.87914,1,0.30604,0.000976293,0.000976293,0.000976293
10,135.492,0.2812,0.90647,1,0.24342,0.000919704,0.000919704,0.000919704
11,143.23,0.25425,0.89353,1,0.26152,0.000863116,0.000863116,0.000863116
12,150.504,0.2525,0.90647,1,0.25186,0.000806528,0.000806528,0.000806528
13,158.211,0.24893,0.92662,1,0.20694,0.000749939,0.000749939,0.000749939
14,166.088,0.22447,0.90935,1,0.2335,0.000693351,0.000693351,0.000693351
15,173.406,0.23157,0.88921,1,0.25874,0.000636762,0.000636762,0.000636762
16,251.863,0.21821,0.8964,1,0.25883,0.000580174,0.000580174,0.000580174
17,268.285,0.2258,0.91079,1,0.20751,0.000523586,0.000523586,0.000523586
18,285.764,0.19826,0.92086,1,0.21917,0.000466997,0.000466997,0.000466997
19,302.665,0.20034,0.91799,1,0.21441,0.000410409,0.000410409,0.000410409
20,319.929,0.19147,0.91367,1,0.23849,0.00035382,0.00035382,0.00035382
21,338.921,0.18238,0.91799,1,0.23383,0.000297232,0.000297232,0.000297232
22,356.452,0.17357,0.92374,1,0.21045,0.000240644,0.000240644,0.000240644
23,374.89,0.18008,0.9223,1,0.20952,0.000184055,0.000184055,0.000184055
24,393.576,0.18073,0.93237,1,0.18828,0.000127467,0.000127467,0.000127467
25,412.318,0.17371,0.93094,1,0.19429,7.08784e-05,7.08784e-05,7.08784e-05
